Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Yonge-Eglinton,43.704689367700006,-79.4035901675,Sake Bar Kushi,43.70492346730393,-79.40695373525546,Japanese Restaurant
Yonge-Eglinton,43.704689367700006,-79.4035901675,Mandarin Buffet,43.705819315936644,-79.39805055425262,Chinese Restaurant
Yonge-Eglinton,43.704689367700006,-79.4035901675,Teriyaki Experience,43.70674750564024,-79.3985639160824,Japanese Restaurant
Yonge-Eglinton,43.704689367700006,-79.4035901675,Lemongrass,43.70676428467283,-79.39852061676696,Asian Restaurant
Yonge-Eglinton,43.704689367700006,-79.4035901675,Kanda Izakaya,43.703606,-79.397896,Japanese Restaurant
Yonge-Eglinton,43.704689367700006,-79.4035901675,Manchu Wok,43.707426,-79.398795,Asian Restaurant
Yonge-Eglinton,43.704689367700006,-79.4035901675,Sushi Shop (Yonge and Eglinton),43.70665681143895,-79.39837535392752,Sushi Restaurant
Yonge-Eglinton,43.704689367700006,-79.4035901675,Nikko Sushi,43.704491178356754,-79.40964102745056,Sushi Restaurant
Yonge-Eglinton,43.704689367700006,-79.4035901675,Sushi Shop,43.707269,-79.3996,Restaurant
Yonge-St.Clair,43.687858872,-79.3978707687,Daeco Sushi,43.68783769992881,-79.39565249242683,Sushi Restaurant
Yonge-St.Clair,43.687858872,-79.3978707687,Sushi Garden,43.68988255810127,-79.39490102169809,Sushi Restaurant
Yonge-St.Clair,43.687858872,-79.3978707687,Suki Japanese Cuisine,43.68866817066987,-79.3918540007956,Japanese Restaurant
Yonge-St.Clair,43.687858872,-79.3978707687,Sprout,43.687995609133544,-79.39465149552744,Asian Restaurant
Yonge-St.Clair,43.687858872,-79.3978707687,Kwan Restaurant,43.688737166789785,-79.39435863931413,Cantonese Restaurant
Yonge-St.Clair,43.687858872,-79.3978707687,Mr. Thai,43.68962660582034,-79.39474466731203,Thai Restaurant
Yonge-St.Clair,43.687858872,-79.3978707687,Sushi Gen,43.68886229852844,-79.3944898110323,Japanese Restaurant
Yonge-St.Clair,43.687858872,-79.3978707687,Mr. Thai,43.68963234095166,-79.3946919920464,Thai Restaurant
Yonge-St.Clair,43.687858872,-79.3978707687,Thai Express,43.68839969248036,-79.3930962577708,Thai Restaurant
Yonge-St.Clair,43.687858872,-79.3978707687,Chef of India,43.68739108979126,-79.39366289219959,Indian Restaurant
Yonge-St.Clair,43.687858872,-79.3978707687,Best Z,43.688604,-79.393597,Asian Restaurant
Yonge-St.Clair,43.687858872,-79.3978707687,Kaizen Sushi,43.688685,-79.392218,Sushi Restaurant
Yonge-St.Clair,43.687858872,-79.3978707687,Gonoe Sushi,43.68865319029028,-79.39209766880333,Sushi Restaurant
York University Heights,43.765736490900004,-79.4888829298,Carribean Heat,43.764155,-79.490227,Chinese Restaurant
York University Heights,43.765736490900004,-79.4888829298,Oishi Sushi,43.76352343481974,-79.49013570659244,Japanese Restaurant
York University Heights,43.765736490900004,-79.4888829298,Phở Liên Hương,43.76443735783582,-79.48977451350508,Vietnamese Restaurant
York University Heights,43.765736490900004,-79.4888829298,Aji Sushi,43.763518792314535,-79.49014247583848,Sushi Restaurant
Yorkdale-Glen Park,43.714671529300006,-79.4571080738,Viet House,43.71832569840717,-79.45737310259787,Vietnamese Restaurant
Yorkdale-Glen Park,43.714671529300006,-79.4571080738,Pho Anh Vu,43.718212,-79.457266,Vietnamese Restaurant
Yorkdale-Glen Park,43.714671529300006,-79.4571080738,Lucky Dragon Restaurant,43.71834159119308,-79.45561898106602,Chinese Restaurant
Yorkdale-Glen Park,43.714671529300006,-79.4571080738,Gobi Sushi,43.717763074982116,-79.45303125570337,Sushi Restaurant
Lawrence Park North,43.73006017229999,-79.40397836359999,Shinobu by Maki Sushi,43.73256202476285,-79.40414749141355,Japanese Restaurant
Lawrence Park North,43.73006017229999,-79.40397836359999,Riz North,43.730791502496054,-79.40371860011433,Asian Restaurant
Lawrence Park North,43.73006017229999,-79.40397836359999,Shoushin,43.73138018653297,-79.40396058978317,Sushi Restaurant
Lawrence Park North,43.73006017229999,-79.40397836359999,the sushi bar,43.73181562279041,-79.40379017911593,Sushi Restaurant
Lawrence Park North,43.73006017229999,-79.40397836359999,Yonge Sushi,43.733181795539736,-79.40432284207976,Sushi Restaurant
Lawrence Park North,43.73006017229999,-79.40397836359999,Shichimi Sushi,43.72888125625912,-79.4031682620572,Sushi Restaurant
Lawrence Park North,43.73006017229999,-79.40397836359999,Cravings,43.732454613454046,-79.4040956461909,Asian Restaurant
Lawrence Park North,43.73006017229999,-79.40397836359999,The Sushi Bar Toronto,43.73161255989256,-79.40387263592966,Japanese Restaurant
Lawrence Park North,43.73006017229999,-79.40397836359999,Joy Thai,43.72795866235298,-79.40292346191478,Thai Restaurant
Lawrence Park North,43.73006017229999,-79.40397836359999,Indian Bread Bar,43.730147945029564,-79.4031525106043,North Indian Restaurant
Lawrence Park South,43.71721170479999,-79.40603941020001,C'est Bon,43.71678474928588,-79.40040634837081,Chinese Restaurant
Lawrence Park South,43.71721170479999,-79.40603941020001,Issimi sushi,43.716699853536845,-79.40506000588584,Sushi Restaurant
Leaside-Bennington,43.7037966281,-79.3660723439,China Food,43.704370721717915,-79.36642968144142,Chinese Restaurant
Leaside-Bennington,43.7037966281,-79.3660723439,Nigiri-Ya,43.70321796865987,-79.36427941347655,Japanese Restaurant
Leaside-Bennington,43.7037966281,-79.3660723439,Sushi Marché II,43.705522,-79.361758,Sushi Restaurant
Little Portugal,43.6475359304,-79.4303227131,Sukho Thai,43.64964167678855,-79.43025432767807,Thai Restaurant
